0,UN
01,HO
02,IP
03,SN
04,NH
05,IP
06,HH
07,AM
08,OT
09,SH
20,EX
21,OT
30,SH
40,EX
41,EX
42,EX
43,IP
50,HS
51,HS
61,SN
62,RH
63,OT
64,NH
65,IP
66,IP
69,OT
70,OT
71,OT
72,OT
81,HO
82,IP
83,SN
84,NH
85,IP
86,HH
87,OT
88,IP
89,SN
90,RH
91,OT
92,NH
93,IP
94,IP
95,OT
